"no","name","shipping_city","zip","st","eff","exp"
6,"ExtremeLoyal Clients",NULL,NULL,NULL,"2005-03-01","2024-03-04"
1,"Really Large Customers",NULL,NULL,NULL,"2005-03-01","2007-03-01"
2,"Small Stores",NULL,NULL,NULL,"2005-03-01","2007-03-01"
3,"Medium Retailers",NULL,NULL,NULL,"2005-03-01","2007-03-01"
4,"Good Companies",NULL,NULL,NULL,"2005-03-01","2007-03-01"
5,"Wonderful Shops",NULL,NULL,NULL,"2005-03-01","2007-03-01"
6,"ExtremeLoyal Clients",NULL,NULL,NULL,"2024-03-05","2007-03-01"
7,"Distinguished Agencies",NULL,NULL,NULL,"2005-03-01","2007-03-01"
8,"Subsidiaries",NULL,NULL,NULL,"2024-03-05","2007-03-01"
1,"Really Large Customers","Mechanicsburg",17050,"PA","2007-03-02","9999-12-31"
2,"Small Stores","Pittsburgh",17055,"PA","2007-03-02","9999-12-31"
3,"Medium Retailers","Pittsburgh",17055,"PA","2007-03-02","9999-12-31"
4,"Good Companies","Mechanicsburg",17050,"PA","2007-03-02","9999-12-31"
5,"Wonderful Shops","Mechanicsburg",17050,"PA","2007-03-02","9999-12-31"
6,"ExtremeLoyal Clients","Pittsburgh",17055,"PA","2007-03-02","9999-12-31"
7,"Distinguished Agencies","Mechanicsburg",17050,"PA","2007-03-02","9999-12-31"
8,"Subsidiaries","Pittsburgh",17055,"PA","2007-03-02","9999-12-31"
9,"Online Distributors","Pittsburgh",17055,"PA","2007-03-02","9999-12-31"
