"osk","csk","psk","odsk","amt","qty"
33,10,7,2938,"4000.00",NULL
34,11,5,2983,"4000.00",NULL
35,12,6,3018,"6000.00",NULL
36,13,7,3089,"6000.00",NULL
37,14,5,3122,"8000.00",NULL
38,8,6,3192,"8000.00",NULL
39,9,7,3248,"1000.00",NULL
40,10,5,3284,"1000.00",NULL
41,11,6,3317,"2000.00",NULL
42,12,7,3353,"2500.00",NULL
43,13,5,3393,"3000.00",NULL
44,14,6,3395,"3500.00",NULL
45,8,7,3439,"4000.00",NULL
46,9,5,3485,"4500.00",NULL
47,10,6,3491,"1000.00",NULL
48,11,7,3521,"1000.00",NULL
49,12,5,3618,"4000.00",NULL
50,13,6,3659,"4000.00",NULL
53,19,7,3669,"4000.00",40
53,19,8,3669,"4000.00",40
54,20,9,3669,"6000.00",60
57,23,7,3669,"7500.00",75
57,23,8,3669,"7500.00",75
58,24,9,3669,"1000.00",10
