"product_category","year","quarter","month_name","total_order_amount"
"Monitor",2005,1,"March    ","4000.00"
"Monitor",2005,3,"July     ","6000.00"
"Monitor",2006,1,"January  ","1000.00"
"Monitor",2006,2,"April    ","2500.00"
"Monitor",2006,3,"July     ","4000.00"
"Monitor",2006,4,"October  ","1000.00"
"Monitor",2007,1,"March    ","483000.00"
"Peripheral",2007,1,"March    ","147000.00"
"Storage",2005,2,"April    ","4000.00"
"Storage",2005,2,"May      ","6000.00"
"Storage",2005,3,"September","8000.00"
"Storage",2005,4,"November ","8000.00"
"Storage",2006,1,"February ","1000.00"
"Storage",2006,1,"March    ","2000.00"
"Storage",2006,2,"May      ","3000.00"
"Storage",2006,2,"June     ","3500.00"
"Storage",2006,3,"August   ","4500.00"
"Storage",2006,3,"September","1000.00"
"Storage",2007,1,"January  ","4000.00"
"Storage",2007,1,"February ","4000.00"
