"msk","month_name","month","q","year","efdate","exdate"
2186,"March    ",3,1,2005,"0001-01-01","9999-12-31"
2173,"April    ",4,2,2005,"0001-01-01","9999-12-31"
2228,"May      ",5,2,2005,"0001-01-01","9999-12-31"
2199,"June     ",6,2,2005,"0001-01-01","9999-12-31"
2177,"July     ",7,3,2005,"0001-01-01","9999-12-31"
2185,"August   ",8,3,2005,"0001-01-01","9999-12-31"
2161,"September",9,3,2005,"0001-01-01","9999-12-31"
2209,"October  ",10,4,2005,"0001-01-01","9999-12-31"
2172,"November ",11,4,2005,"0001-01-01","9999-12-31"
2195,"December ",12,4,2005,"0001-01-01","9999-12-31"
2219,"January  ",1,1,2006,"0001-01-01","9999-12-31"
2208,"February ",2,1,2006,"0001-01-01","9999-12-31"
2180,"March    ",3,1,2006,"0001-01-01","9999-12-31"
2223,"April    ",4,2,2006,"0001-01-01","9999-12-31"
2213,"May      ",5,2,2006,"0001-01-01","9999-12-31"
2166,"June     ",6,2,2006,"0001-01-01","9999-12-31"
2215,"July     ",7,3,2006,"0001-01-01","9999-12-31"
2198,"August   ",8,3,2006,"0001-01-01","9999-12-31"
2226,"September",9,3,2006,"0001-01-01","9999-12-31"
2187,"October  ",10,4,2006,"0001-01-01","9999-12-31"
2179,"November ",11,4,2006,"0001-01-01","9999-12-31"
2189,"December ",12,4,2006,"0001-01-01","9999-12-31"
2212,"January  ",1,1,2007,"0001-01-01","9999-12-31"
2159,"February ",2,1,2007,"0001-01-01","9999-12-31"
2197,"March    ",3,1,2007,"0001-01-01","9999-12-31"
2192,"April    ",4,2,2007,"0001-01-01","9999-12-31"
2167,"May      ",5,2,2007,"0001-01-01","9999-12-31"
2222,"June     ",6,2,2007,"0001-01-01","9999-12-31"
2220,"July     ",7,3,2007,"0001-01-01","9999-12-31"
2190,"August   ",8,3,2007,"0001-01-01","9999-12-31"
2162,"September",9,3,2007,"0001-01-01","9999-12-31"
2227,"October  ",10,4,2007,"0001-01-01","9999-12-31"
2163,"November ",11,4,2007,"0001-01-01","9999-12-31"
2211,"December ",12,4,2007,"0001-01-01","9999-12-31"
2225,"January  ",1,1,2008,"0001-01-01","9999-12-31"
2210,"February ",2,1,2008,"0001-01-01","9999-12-31"
2184,"March    ",3,1,2008,"0001-01-01","9999-12-31"
2201,"April    ",4,2,2008,"0001-01-01","9999-12-31"
2170,"May      ",5,2,2008,"0001-01-01","9999-12-31"
2202,"June     ",6,2,2008,"0001-01-01","9999-12-31"
2169,"July     ",7,3,2008,"0001-01-01","9999-12-31"
2194,"August   ",8,3,2008,"0001-01-01","9999-12-31"
2168,"September",9,3,2008,"0001-01-01","9999-12-31"
2207,"October  ",10,4,2008,"0001-01-01","9999-12-31"
2182,"November ",11,4,2008,"0001-01-01","9999-12-31"
2193,"December ",12,4,2008,"0001-01-01","9999-12-31"
2218,"January  ",1,1,2009,"0001-01-01","9999-12-31"
2160,"February ",2,1,2009,"0001-01-01","9999-12-31"
2221,"March    ",3,1,2009,"0001-01-01","9999-12-31"
2216,"April    ",4,2,2009,"0001-01-01","9999-12-31"
2171,"May      ",5,2,2009,"0001-01-01","9999-12-31"
2217,"June     ",6,2,2009,"0001-01-01","9999-12-31"
2203,"July     ",7,3,2009,"0001-01-01","9999-12-31"
2191,"August   ",8,3,2009,"0001-01-01","9999-12-31"
2183,"September",9,3,2009,"0001-01-01","9999-12-31"
2205,"October  ",10,4,2009,"0001-01-01","9999-12-31"
2200,"November ",11,4,2009,"0001-01-01","9999-12-31"
2175,"December ",12,4,2009,"0001-01-01","9999-12-31"
2224,"January  ",1,1,2010,"0001-01-01","9999-12-31"
2164,"February ",2,1,2010,"0001-01-01","9999-12-31"
2206,"March    ",3,1,2010,"0001-01-01","9999-12-31"
2165,"April    ",4,2,2010,"0001-01-01","9999-12-31"
2181,"May      ",5,2,2010,"0001-01-01","9999-12-31"
2178,"June     ",6,2,2010,"0001-01-01","9999-12-31"
2188,"July     ",7,3,2010,"0001-01-01","9999-12-31"
2204,"August   ",8,3,2010,"0001-01-01","9999-12-31"
2176,"September",9,3,2010,"0001-01-01","9999-12-31"
2214,"October  ",10,4,2010,"0001-01-01","9999-12-31"
2196,"November ",11,4,2010,"0001-01-01","9999-12-31"
2174,"December ",12,4,2010,"0001-01-01","9999-12-31"
