"date_sk","date","month_name","month","quarter","year","effective_date","expiry_date"
1466,"2007-01-01","January  ",1,1,2007,"0001-01-01","9999-12-31"
1467,"2007-01-02","January  ",1,1,2007,"0001-01-01","9999-12-31"
1468,"2007-01-03","January  ",1,1,2007,"0001-01-01","9999-12-31"
1469,"2007-01-04","January  ",1,1,2007,"0001-01-01","9999-12-31"
1470,"2007-01-05","January  ",1,1,2007,"0001-01-01","9999-12-31"
1471,"2007-01-06","January  ",1,1,2007,"0001-01-01","9999-12-31"
1472,"2007-01-07","January  ",1,1,2007,"0001-01-01","9999-12-31"
1473,"2007-01-08","January  ",1,1,2007,"0001-01-01","9999-12-31"
1474,"2007-01-09","January  ",1,1,2007,"0001-01-01","9999-12-31"
1475,"2007-01-10","January  ",1,1,2007,"0001-01-01","9999-12-31"
